Address,Case Number,Crime Against,Measure Names,Neighborhood,Occur Date,Occur Time,Offense Category,Offense Type,Offense Count
200 BLOCK OF SW HOOKER ST,17-911521,Property,No Measure Value,South Portland,08/09/17,530,Larceny Offenses,Theft From Motor Vehicle,1
100 BLOCK OF SW WHITAKER ST,17-911620,Property,No Measure Value,South Portland,08/09/17,2000,Larceny Offenses,Theft From Motor Vehicle,1
100 BLOCK OF SW CURRY ST,17-911624,Property,No Measure Value,South Portland,07/28/17,1000,Fraud Offenses,False Pretenses/Swindle/Confidence Game,1
100 BLOCK OF SW CURRY ST,17-911624,Property,No Measure Value,South Portland,07/28/17,1000,Fraud Offenses,Identity Theft,1
500 BLOCK OF SW FLORIDA ST,17-911699,Property,No Measure Value,South Portland,08/07/17,2230,Larceny Offenses,Theft From Motor Vehicle,1
3400 BLOCK OF SW KELLY AVE,17-911731,Property,No Measure Value,South Portland,08/10/17,1900,Larceny Offenses,Theft From Motor Vehicle,1
6800 BLOCK OF SW MACADAM AVE,17-911915,Property,No Measure Value,South Portland,07/26/16,1045,Larceny Offenses,All Other Larceny,1
3300 BLOCK OF SW CORBETT AVE,17-912090,Property,No Measure Value,South Portland,08/18/17,20,Larceny Offenses,All Other Larceny,1
100 BLOCK OF SW GIBBS ST,17-912137,Property,No Measure Value,South Portland,08/19/17,2300,Vandalism,Vandalism,1
300 BLOCK OF SW WHITAKER ST,17-912154,Property,No Measure Value,South Portland,08/18/17,1000,Larceny Offenses,All Other Larceny,1
100 BLOCK OF SW WOODS ST,17-912380,Property,No Measure Value,South Portland,08/23/17,1100,Vandalism,Vandalism,1
4400 BLOCK OF SW BARBUR BLVD,17-912386,Property,No Measure Value,South Portland,08/16/17,1500,Larceny Offenses,Theft From Motor Vehicle,1
4800 BLOCK OF SW 2ND CT,17-912447,Property,No Measure Value,South Portland,08/24/17,1910,Larceny Offenses,All Other Larceny,1
