Address,Case Number,Crime Against,Measure Names,Neighborhood,Occur Date,Occur Time,Offense Category,Offense Type,Offense Count
3300 BLOCK OF SW BOND AVE,17-681046,Property,No Measure Value,South Portland,07/10/17,1435,Vandalism,Vandalism,1
3300 BLOCK OF SW BOND AVE,17-681092,Property,No Measure Value,South Portland,07/22/17,730,Vandalism,Vandalism,1
2700 BLOCK OF SW MOODY AVE,17-681095,Property,No Measure Value,South Portland,08/03/17,900,Larceny Offenses,All Other Larceny,1
3300 BLOCK OF SW BOND AVE,17-681096,Property,No Measure Value,South Portland,08/01/17,550,Larceny Offenses,All Other Larceny,1
3300 BLOCK OF SW BOND AVE,17-681097,Property,No Measure Value,South Portland,08/05/17,530,Larceny Offenses,All Other Larceny,1
3900 BLOCK OF SW MACADAM AVE,17-681190,Property,No Measure Value,South Portland,07/29/17,930,Vandalism,Vandalism,1
3300 BLOCK OF SW BOND AVE,17-681191,Property,No Measure Value,South Portland,08/14/17,1300,Larceny Offenses,Theft From Building,1
3300 BLOCK OF SW BOND AVE,17-681192,Property,No Measure Value,South Portland,08/16/17,913,Larceny Offenses,All Other Larceny,1
SW 6TH AVE / SW SHERIDAN ST,17-681274,Property,No Measure Value,South Portland,08/17/17,830,Robbery,Robbery,1
3300 BLOCK OF SW BOND AVE,17-681275,Property,No Measure Value,South Portland,08/22/17,1215,Fraud Offenses,Identity Theft,1
3300 BLOCK OF SW BOND AVE,17-681275,Property,No Measure Value,South Portland,08/22/17,1215,Larceny Offenses,Theft From Building,1
3300 BLOCK OF SW BOND AVE,17-681400,Property,No Measure Value,South Portland,09/21/17,545,Larceny Offenses,All Other Larceny,1
3300 BLOCK OF SW BOND AVE,17-681402,Property,No Measure Value,South Portland,09/20/17,600,Larceny Offenses,All Other Larceny,1
2700 BLOCK OF SW MOODY AVE,17-681435,Property,No Measure Value,South Portland,09/10/17,949,Larceny Offenses,Theft From Motor Vehicle,1
2700 BLOCK OF SW MOODY AVE,17-800671,Property,No Measure Value,South Portland,01/20/17,700,Vandalism,Vandalism,1
3500 BLOCK OF SW BOND AVE,17-802690,Property,No Measure Value,South Portland,05/18/17,1715,Burglary,Burglary,1
3500 BLOCK OF SW BOND AVE,17-802703,Property,No Measure Value,South Portland,05/18/17,1630,Burglary,Burglary,1
SW KELLY AVE / SW WHITAKER ST,17-900131,Property,No Measure Value,South Portland,01/03/17,700,Vandalism,Vandalism,1
2400 BLOCK OF SW 4TH AVE,17-900151,Property,No Measure Value,South Portland,01/03/17,1830,Larceny Offenses,Theft From Motor Vehicle,1
2400 BLOCK OF SW 4TH AVE,17-900152,Property,No Measure Value,South Portland,01/03/17,1830,Larceny Offenses,Theft From Motor Vehicle,1
7200 BLOCK OF SW MACADAM AVE,17-900160,Property,No Measure Value,South Portland,01/03/17,1755,Larceny Offenses,Theft From Motor Vehicle,1
600 BLOCK OF SW NEVADA ST,17-900179,Property,No Measure Value,South Portland,12/30/16,115,Larceny Offenses,All Other Larceny,1
0 BLOCK OF SW BOUNDARY CT,17-900421,Property,No Measure Value,South Portland,01/10/17,1105,Larceny Offenses,Theft From Motor Vehicle,1
0 BLOCK OF SW BOUNDARY CT,17-900421,Property,No Measure Value,South Portland,01/10/17,1105,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,1
6400 BLOCK OF SW MACADAM AVE,17-900626,Property,No Measure Value,South Portland,01/15/17,1340,Larceny Offenses,Theft From Motor Vehicle,1
6500 BLOCK OF SW MACADAM AVE,17-900638,Property,No Measure Value,South Portland,11/11/16,800,Fraud Offenses,Identity Theft,1
6400 BLOCK OF SW VIEW POINT TER,17-900796,Property,No Measure Value,South Portland,12/15/16,1705,Fraud Offenses,Identity Theft,1
0 BLOCK OF SW ARTHUR ST,17-900798,Property,No Measure Value,South Portland,01/20/17,100,Vandalism,Vandalism,1
5300 BLOCK OF SW CORBETT AVE,17-901231,Property,No Measure Value,South Portland,01/29/17,2000,Larceny Offenses,Theft From Motor Vehicle,1
5800 BLOCK OF SW CORBETT AVE,17-901286,Property,No Measure Value,South Portland,01/29/17,2000,Larceny Offenses,Theft From Motor Vehicle,1
3300 BLOCK OF SW BOND AVE,17-901823,Property,No Measure Value,South Portland,02/10/17,1750,Larceny Offenses,All Other Larceny,1
0 BLOCK OF SW PORTER ST,17-901830,Property,No Measure Value,South Portland,02/11/17,1830,Larceny Offenses,Theft From Motor Vehicle,1
0 BLOCK OF SW CURRY ST,17-901890,Property,No Measure Value,South Portland,02/12/17,2155,Larceny Offenses,Theft From Motor Vehicle,1
3200 BLOCK OF SW 1ST AVE,17-901892,Property,No Measure Value,South Portland,02/13/17,800,Larceny Offenses,Theft From Motor Vehicle,1
200 BLOCK OF SW HAMILTON ST,17-902053,Property,No Measure Value,South Portland,02/06/17,1915,Larceny Offenses,Theft From Motor Vehicle,1
SW WATER AVE / SW ARTHUR ST,17-902107,Property,No Measure Value,South Portland,02/16/17,1400,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,1
3300 BLOCK OF SW CORBETT AVE,17-902458,Property,No Measure Value,South Portland,03/25/16,1055,Larceny Offenses,All Other Larceny,1
6300 BLOCK OF SW MACADAM AVE,17-902463,Property,No Measure Value,South Portland,02/06/17,2115,Counterfeiting/Forgery,Counterfeiting/Forgery,1
6300 BLOCK OF SW MACADAM AVE,17-902463,Property,No Measure Value,South Portland,02/06/17,2115,Fraud Offenses,Identity Theft,1
0 BLOCK OF SW SEYMOUR ST,17-902467,Property,No Measure Value,South Portland,02/17/17,1600,Larceny Offenses,Theft From Motor Vehicle,1
5900 BLOCK OF SW RIVERIDGE LN,17-902789,Property,No Measure Value,South Portland,02/27/17,1515,Larceny Offenses,All Other Larceny,1
2900 BLOCK OF SW 2ND AVE,17-903313,Property,No Measure Value,South Portland,03/09/17,1200,Vandalism,Vandalism,1
6800 BLOCK OF SW MACADAM AVE,17-903471,Property,No Measure Value,South Portland,03/11/17,1845,Larceny Offenses,Theft From Motor Vehicle,1
500 BLOCK OF SW CAROLINA ST,17-903562,Property,No Measure Value,South Portland,02/10/17,2312,Vandalism,Vandalism,1
4200 BLOCK OF SW CORBETT AVE,17-903748,Property,No Measure Value,South Portland,03/17/17,1808,Larceny Offenses,All Other Larceny,1
600 BLOCK OF SW LOWELL ST,17-903769,Property,No Measure Value,South Portland,05/20/12,1525,Fraud Offenses,False Pretenses/Swindle/Confidence Game,1
600 BLOCK OF SW LOWELL ST,17-903769,Property,No Measure Value,South Portland,05/20/12,1525,Fraud Offenses,Identity Theft,1
3200 BLOCK OF SW MOODY AVE,17-903830,Property,No Measure Value,South Portland,03/09/17,1700,Larceny Offenses,All Other Larceny,1
4900 BLOCK OF SW LANDING DR,17-903846,Property,No Measure Value,South Portland,03/20/17,1830,Larceny Offenses,Theft From Motor Vehicle,1
4900 BLOCK OF SW 1ST AVE,17-904145,Property,No Measure Value,South Portland,03/25/17,715,Vandalism,Vandalism,1
2900 BLOCK OF SW 2ND AVE,17-904161,Property,No Measure Value,South Portland,03/27/17,600,Larceny Offenses,Theft From Motor Vehicle,1
200 BLOCK OF SW FLOWER ST,17-904214,Property,No Measure Value,South Portland,02/27/17,750,Larceny Offenses,All Other Larceny,1
0 BLOCK OF SW HAMILTON CT,17-904434,Property,No Measure Value,South Portland,03/31/17,2300,Vandalism,Vandalism,1
3300 BLOCK OF SW MOODY AVE,17-904449,Property,No Measure Value,South Portland,03/29/17,745,Larceny Offenses,All Other Larceny,1
3800 BLOCK OF SW WATER AVE,17-904456,Property,No Measure Value,South Portland,04/01/17,130,Larceny Offenses,Theft From Motor Vehicle,1
500 BLOCK OF SW NEVADA ST,17-904803,Property,No Measure Value,South Portland,04/08/17,300,Larceny Offenses,Theft From Motor Vehicle,1
6000 BLOCK OF SW HOOD AVE,17-904834,Property,No Measure Value,South Portland,04/02/17,2200,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,1
3900 BLOCK OF SW CORBETT AVE,17-904968,Property,No Measure Value,South Portland,04/10/17,2330,Larceny Offenses,Theft From Motor Vehicle,1
3900 BLOCK OF SW CORBETT AVE,17-904968,Property,No Measure Value,South Portland,04/10/17,2330,Larceny Offenses,Theft of Motor Vehicle Parts or Accessories,1
6600 BLOCK OF SW MACADAM AVE,17-905033,Property,No Measure Value,South Portland,04/03/17,1335,Counterfeiting/Forgery,Counterfeiting/Forgery,1
6600 BLOCK OF SW MACADAM AVE,17-905033,Property,No Measure Value,South Portland,04/03/17,1335,Fraud Offenses,Identity Theft,1
600 BLOCK OF SW NEVADA ST,17-905039,Property,No Measure Value,South Portland,04/11/17,2300,Larceny Offenses,All Other Larceny,1
3300 BLOCK OF SW KELLY AVE,17-905420,Property,No Measure Value,South Portland,04/19/17,1500,Vandalism,Vandalism,1
300 BLOCK OF SW IDAHO ST,17-905690,Property,No Measure Value,South Portland,01/24/17,2024,Larceny Offenses,All Other Larceny,1
